streaming replay | provider=w3_tactfull_live mode=tact delta=1.5 barrier=on engine=full workers=1 infer=nominal 1.00 | 100 examples
[1/100] ecommerce_01_65e8cf8f4c7424fa062e54a3: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[2/100] ecommerce_01_69a9cf80f4d7668d5c815038: 1 calls, resp=1.77 done=3.585 eou=4 defer=1
[3/100] ecommerce_02_5f4a4da1575d605c43bef871: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[4/100] ecommerce_04_6998abd731d2ec50d067d5bd: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[5/100] ecommerce_05_695bd157114f0d2317f88617: 1 calls, resp=1.785 done=1.785 eou=6 defer=1
[6/100] ecommerce_06_66c4f3cb14cbfc4db836bd4e: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[7/100] ecommerce_07_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[8/100] ecommerce_08_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.786 done=3.601 eou=3 defer=0
[9/100] ecommerce_08_61517db6a7589569521b2356: 1 calls, resp=2.474 done=4.289 eou=1 defer=0
[10/100] ecommerce_09_695bd157114f0d2317f88617: 1 calls, resp=1.77 done=3.349 eou=1 defer=0
[11/100] ecommerce_10_6998abd731d2ec50d067d5bd: 2 calls, resp=2.314 done=4.129 eou=1 defer=0
[12/100] ecommerce_11_62a885d5b6af18b3d4579e1b: 1 calls, resp=1.786 done=3.601 eou=1 defer=0
[13/100] ecommerce_12_6998abd731d2ec50d067d5bd: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[14/100] ecommerce_13_5ff07b5ee7a1d23e719e421e: 2 calls, resp=1.77 done=3.349 eou=1 defer=0
[15/100] ecommerce_13_61517db6a7589569521b2356: 2 calls, resp=2.25 done=1.365 eou=4 defer=2
[16/100] ecommerce_14_5ff07b5ee7a1d23e719e421e: 1 calls, resp=1.77 done=3.585 eou=3 defer=0
[17/100] ecommerce_14_61517db6a7589569521b2356: 1 calls, resp=0.0 done=0.0 eou=7 defer=0
[18/100] ecommerce_15_56780a5a89319e0011644cb4: 2 calls, resp=1.77 done=3.496 eou=2 defer=0
[19/100] ecommerce_15_66c4f3cb14cbfc4db836bd4e: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[20/100] ecommerce_16_695bd157114f0d2317f88617: 1 calls, resp=1.77 done=3.585 eou=2 defer=0
[21/100] ecommerce_17_5f4a4da1575d605c43bef871: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[22/100] ecommerce_18_62a885d5b6af18b3d4579e1b: 2 calls, resp=1.77 done=5.582 eou=1 defer=0
[23/100] ecommerce_19_66f59c766e7e22e1f90d08f6: 1 calls, resp=1.77 done=3.585 eou=1 defer=0
[24/100] ecommerce_20_66c4f3cb14cbfc4db836bd4e: 2 calls, resp=1.77 done=5.582 eou=2 defer=0
[25/100] ecommerce_21_65e8cf8f4c7424fa062e54a3: 2 calls, resp=1.77 done=3.496 eou=4 defer=1
